;ecocyc_id;synonyms;products;n_prods;ko_obs;url;uniprot;class
b0995;EG12615;torR;TORR-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG12615;P38684;repressor
b2437;EG12190;eutR yfeG;EG12190-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12190;P36547;
b3954;EG11913;yijO;EG11913-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11913;P32677;
b4113;EG11615;basR pmrA;PHOSPHO-BASR BASR-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11615;;
b2554;EG11285;glrR yfhA qseF;MONOMER0-4147 EG11285-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11285;;two component regulatory systems (external signal)
b4393;EG11029;trpR rtrY;PD00423;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11029;P0A881;operon
b3987;EG10894;rpoB sdgB tabD stv stl ftsR groN nitB rif ron;RPOB-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10894;P0A8V2;
b3961;EG10681;oxyR momR mor;PD00214;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10681;P0ACQ4;regulon
b0076;EG10531;leuO;PD00519;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10531;P10151;operon
b0566;EG10268;envY;PD00969;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10268;P10805;
b2714;EG10087;ascG sac;EG10087-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10087;P24242;operon
b2921;G7518;ygfI;G7518-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7518;P52044;
b1988;G7072;nac;G7072-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7072;Q47005;repressor
b0305;G6175;rclR ykgD;G6175-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6175;P77379;
b2664;EG12386;csiR ygaE gabC;EG12386-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12386;P37338;repressor
b3119;EG10992;tdcR;PD03292;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10992;P11866;operon
b3905;EG10843;rhaS rhaC2;PD00221;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10843;P09377;operon
b0416;EG10666;nusB groNB ssaD ssyB;EG10666-MONOMER;1;OBS0-49 OBS0-395 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10666;P0A780;
b3773;EG10503;ilvY;PD00200;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10503;P05827;repressor
b2151;EG10365;galS mglD;PD00261;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10365;P25748;operon
b1570;EG10226;dicA ftsT;EG10226-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10226;P06966;
b0064;EG10054;araC;PD00242;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10054;P0A9E0;repressor
b4484;G7816;cpxP yiiO b3913 (obsolete);G7816-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7816;P0AE85;pH
b2735;G7416;ygbI;G7416-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7416;P52598;
b1827;G7003;kdgR yebP;G7003-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7003;P76268;
b1399;G6720;paaX ydbY;G6720-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6720;P76086;
b0620;G6346;dpiA citB criR mpdA;PHOSPHO-DPIA G6346-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6346;;operon
b2572;EG12341;rseA yfiJ mclA;EG12341-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12341;P0AFX7;other (mechanical, nutritional, oxidative stress)
b2624;EG12112;alpA;PD02850;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG12112;P33997;
b2808;EG11795;gcvA;PD00339;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11795;P0A9F6;activator
b3481;EG11519;nikR yhhG;EG11519-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11519;P0A6Z6;
b1914;EG11140;uvrY yecB;MONOMER0-1 EG11140-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11140;;
b2707;EG10974;srlR gutR;PD00283;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10974;P15082;operon
b1221;EG10643;narL frdR narR;PHOSPHO-NARL NARL-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10643;;repressor
b4004;EG10482;zraR hydG;PHOSPHO-HYDG HYDG-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10482;;two component regulatory systems (external signal)
b2805;EG10353;fucR;PD00444;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10353;P0ACK8;operon
b1275;EG10184;cysB;PD00232;1;OBS0-49 OBS0-31 OBS0-50 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10184;P0A9F3;repressor
b3243;G7688;aaeR yhcS qseA;G7688-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7688;P67662;
b2537;G7331;hcaR phdR yfhT;G7331-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G7331;Q47141;repressor
b0506;G6276;allR glxA3 ybbU;G6276-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6276;P0ACN4;
b3569;EG20253;xylR;EG20253-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG20253;P0ACI3;operon
b1013;EG12301;rutR ycdC;PD01352;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12301;P0ACU2;
b2163;EG12031;yeiL;EG12031-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG12031;P0A9E9;
b3995;EG11738;rsd yjaE;EG11738-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11738;P0AFX4;
b1530;EG11435;marR cfxB inaR soxQ;PD00364;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11435;P27245;drug resistance/sensitivity
b4063;EG10957;soxR marC;PD04132;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10957;P0ACS2;operon
b3753;EG10819;rbsR;PD03867;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10819;P0ACQ0;operon
b3828;EG10591;metR;PD03938;1;OBS0-49 OBS0-31 OBS0-50 OBS0-37 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10591;P0A9F9;repressor
b1237;EG10457;hns B1 H1 virR topX topS pilG osmZ msyA irk hnsA bglY cur drc drdX drs fimG;PD00288;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10457;P0ACF8;repressor
b1892;EG10320;flhD flbB;EG10320-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10320;P0A8S9;repressor
b1735;EG10143;chbR celD;EG10143-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10143;P17410;repressor
b4340;G7936;yjiR;G7936-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7936;P39389;
b3105;G7619;yhaJ;G7619-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7619;P67660;
b1618;G6867;uidR gusR;G6867-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6867;P0ACT6;operon
b1285;G6639;pdeR yciR gmr;G6639-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6639;P77334;
b3521;EG12247;yhjC;EG12247-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG12247;P37641;
b4116;EG11966;adiY;EG11966-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11966;P33234;
b3680;EG11707;yidL;EG11707-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11707;P31449;
b3963;EG11394;fabR yijC;EG11394-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11394;P0ACU5;
b1949;EG11976;fliQ flaQ;EG11976-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11976;P0AC07;
b0020;EG11078;nhaR antO yaaB;PD00474;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11078;P0A9G2;pH
b1941;G377;fliI fla flaAIII flaC;G377-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G377;P52612;
b3202;EG10898;rpoN glnF ntrA;RPON-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10898;P24255;stimulon
b2321;EG10229;flk div;EG10229-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10229;P15286;
b1130;EG10731;phoP;PHOSPHO-PHOP PHOP-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10731;;two component regulatory systems (external signal)
b2741;EG10510;rpoS sigS otsX abrD appR csi2 dpeB katF nur;RPOS-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10510;P13445;
b1620;EG10557;malI;PD00361;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10557;P18811;operon
b1712;EG10440;ihfA hid himA;PD00347;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10440;P0A6X7;repressor
b2731;EG10301;fhlA fhl;PD02936;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10301;P19323;operon
b3973;EG10123;birA bioR dhbB;BIOTINLIG-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10123;P06709;operon
b4299;G7912;yjhI;G7912-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7912;P39360;
b2381;G7244;ypdB;MONOMER0-4288 G7244-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7244;;
b0829;G6429;gsiA yliA;YLIA-MONOMER;1;OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6429;P75796;
b1540;G6814;ydfH;G6814-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6814;P0ACM2;
b1162;G6602;bluR ycgE;G6602-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6602;P75989;
b0765;EG10152;modC chlD narD;MODC-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10152;P09833;
b0490;G6266;fetA ybbL;YBBL-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6266;P77279;
b3438;EG12630;gntR;PD03585;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG12630;P0ACP5;
b3271;EG12837;yhdZ;YHDZ-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12837;P45769;
b3515;EG12242;gadW yhiW;EG12242-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12242;P63201;
b2129;EG12010;yehX;YEHX-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12010;P33360;
b4241;EG12202;treR;EG12202-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12202;P36673;regulon
b1756;G6951;ynjD;YNJD-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G6951;P76909;
b2079;EG11618;baeR;PHOSPHO-BAER BAER-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11618;P69228;
b0495;EG11657;ybbA;YBBA-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11657;P0A9T8;
b1323;EG11042;tyrR;PD00413;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11042;P07604;operon
b3988;EG10895;rpoC tabB;RPOC-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10895;P0A8T7;
b1483;G6777;ddpF yddO;YDDO-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6777;P77622;
b0933;EG12358;ssuB ycbE;YCBE-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12358;P0AAI1;
b4043;EG10533;lexA exrA spr tsl umuA;PD00205;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10533;P0A7C2;regulon
b2231;EG10423;gyrA hisW nalA nfxA norA parD;EG10423-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10423;P0AES4;
b0199;EG11621;metN metD abc;ABC-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11621;P30750;
b4715;G0-16640;ytiA;MONOMER0-4349;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-16640;P0DN74;
b0151;EG10304;fhuC;FHUC-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10304;P07821;
b1187;EG10281;fadR dec ole oleR thdB;PD01520;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10281;P0A8V6;repressor
b1117;G6574;lolD ycfV;YCFV-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=G6574;P75957;
b3743;EG10093;asnC;PD00250;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10093;P0ACI6;repressor
b4586;G0-10583;ykfM;MONOMER0-2812;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G0-10583;A5A605;
b0794;G6411;ybhF;YBHF-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6411;P0A9U1;
b2980;G7546;glcC yghN;G7546-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7546;P0ACL5;repressor
b1126;EG10749;potA;POTA-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10749;P69874;
b2015;G7088;yeeY;G7088-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=G7088;P76369;
b3352;EG12903;yheS;YHES-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12903;P63389;
b1499;G6789;ydeO;G6789-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6789;P76135;
b2180;EG12041;yejF;YEJF-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12041;P33916;
b0316;G6181;yahB;G6181-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6181;P77700;
b1858;G7018;znuC yebM;ZNUC-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7018;P0A9X1;
b2090;EG12162;gatR_2 gatR;PD00338;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12162;P36930;
b0652;EG12663;gltL;GLTL-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG12663;P0AAG3;
b3897;EG11861;frvR yiiH;EG11861-MONOMER;1;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG11861;P32152;
b3201;EG11680;lptB yhbG;YHBG-MONOMER;1;OBS0-393;http://ecocyc.org/gene?orgid=ECOLI&id=EG11680;P0A9V1;
b0629;EG11594;ybeF;EG11594-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11594;P30979;
b1484;G6778;ddpD yddP;YDDP-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6778;P77268;
b4398;EG11218;creB yjjE ORF2;PHOSPHO-CREB CREB-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11218;;operon
b1274;EG11013;topA supX;EG11013-MONOMER;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG11013;P06612;
b4485;EG12518;ytfR ytfS b4228 (obsolete) b4229 (obsolete);YTFR-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG12518;Q6BEX0;
b0864;EG11624;artP;ARTP-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG11624;P0AAF6;
b3783;EG10845;rho nusD sun tsu rnsC nitA psu psuA sbaA;EG10845-MONOMER;1;OBS0-393;http://ecocyc.org/gene?orgid=ECOLI&id=EG10845;P0AG30;
b3982;EG10667;nusG;EG10667-MONOMER;1;OBS0-48 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10667;P0AFG0;
b0809;EG10389;glnQ;GLNQ-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10389;P10346;
b0127;EG12320;yadG;YADG-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12320;P36879;
b0694;EG10517;kdpE;PHOSPHO-KDPE KDPE-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10517;;operon
b4287;EG10290;fecE;FECE-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10290;P15031;
b3868;EG10385;glnG glnT ntrC;MONOMER0-4198 PROTEIN-NRI;2;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10385;;repressor
b0820;G6423;ybiT;G6423-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6423;P0A9U3;
b3702;EG10235;dnaA;PD03831;1;OBS0-48;http://ecocyc.org/gene?orgid=ECOLI&id=EG10235;P03004;activator
b2677;EG10771;proV osrA proU;PROV-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10771;P14175;
b4401;EG10061;arcA sfrA cpxC dye fexA msp seg;PHOSPHO-ARCA ARCA-MONOMER;2;OBS0-49 OBS0-37 OBS0-33;http://ecocyc.org/gene?orgid=ECOLI&id=EG10061;;two component regulatory systems (external signal)
b1709;EG10128;btuD;BTUD-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG10128;P06611;
b4089;G7821;alsR yjcY rpiR;G7821-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7821;P0ACS7;repressor
b0022;G6086;insA-1;G6086-MONOMER;1;;http://ecocyc.org/gene?orgid=ECOLI&id=G6086;P0CF07;
b0366;G6218;tauB yaiQ ssiB;TAUB-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6218;Q47538;
b2855;G7475;ygeK ygeL;G7475-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7475;Q46791;
b2201;EG12059;ccmA yejW;CCMA-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12059;P33931;ABC superfamily ATP binding cytoplasmic component
b1969;G7057;hprR yedW;MONOMER0-4341 G7057-MONOMER;2;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7057;;
b2547;G7341;yphE;YPHE-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G7341;P77509;
b1422;G6737;ydcI;G6737-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6737;P77171;
b0650;G6357;hscC ybeW;G6357-MONOMER;1;OBS0-49 OBS0-40 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6357;P77319;
b3195;EG12801;mlaF vpsA(S.f.) yrbF;YRBF-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=EG12801;P63386;
b1513;G6800;lsrA ego ydeX;YDEX-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6800;P77257;
b0272;G6144;xynR yagI;G6144-MONOMER;1;OBS0-49 OBS0-37 OBS0-33 OBS0-44;http://ecocyc.org/gene?orgid=ECOLI&id=G6144;P77300;
